Signature	Return Type	Function Type	Intermediate Type	Properties
any_value_state_merge(TINYINT)	TINYINT	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state_merge(VARBINARY)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state_merge(VARCHAR)	VARCHAR	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state_union(BIGINT,BIGINT)	BIGINT	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state_union(BOOLEAN,BOOLEAN)	BOOLEAN	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state_union(DATE,DATE)	DATE	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state_union(DATETIME,DATETIME)	DATETIME	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state_union(DECIMAL128,DECIMAL128)	DECIMAL128	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state_union(DECIMAL256,DECIMAL256)	DECIMAL256	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state_union(DECIMAL32,DECIMAL32)	DECIMAL32	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state_union(DECIMAL64,DECIMAL64)	DECIMAL64	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state_union(DOUBLE,DOUBLE)	DOUBLE	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state_union(FLOAT,FLOAT)	FLOAT	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state_union(INT,INT)	INT	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state_union(INVALID_TYPE,INVALID_TYPE)	INVALID_TYPE	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state_union(JSON,JSON)	JSON	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state_union(LARGEINT,LARGEINT)	LARGEINT	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state_union(SMALLINT,SMALLINT)	SMALLINT	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state_union(TINYINT,TINYINT)	TINYINT	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state_union(VARBINARY,VARBINARY)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_state_union(VARCHAR,VARCHAR)	VARCHAR	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_union(BIGINT)	BIGINT	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_union(BOOLEAN)	BOOLEAN	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_union(DATE)	DATE	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_union(DATETIME)	DATETIME	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_union(DECIMAL128)	DECIMAL128	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_union(DECIMAL256)	DECIMAL256	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_union(DECIMAL32)	DECIMAL32	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_union(DECIMAL64)	DECIMAL64	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_union(DOUBLE)	DOUBLE	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_union(FLOAT)	FLOAT	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_union(INT)	INT	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_union(INVALID_TYPE)	INVALID_TYPE	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_union(JSON)	JSON	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_union(LARGEINT)	LARGEINT	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_union(SMALLINT)	SMALLINT	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_union(TINYINT)	TINYINT	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_union(VARBINARY)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
any_value_union(VARCHAR)	VARCHAR	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
append_trailing_char_if_absent(VARCHAR,VARCHAR)	VARCHAR	Scalar	NULL	{"fid":"30110","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_cosine_similarity(INVALID_TYPE,INVALID_TYPE)	FLOAT	Scalar	NULL	{"fid":"10106","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct(BIGINT)	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct(BITMAP)	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct(BOOLEAN)	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct(DATE)	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct(DATETIME)	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct(DECIMAL128)	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct(DECIMAL256)	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct(DECIMAL32)	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct(DECIMAL64)	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct(DECIMALV2)	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct(DOUBLE)	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct(FLOAT)	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct(HLL)	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct(INT)	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct(JSON)	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct(LARGEINT)	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct(PERCENTILE)	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct(SMALLINT)	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct(TIME)	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct(TINYINT)	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct(UNKNOWN_TYPE)	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct(VARBINARY)	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct(VARCHAR)	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_combine(BIGINT)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_combine(BOOLEAN)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_combine(DATE)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_combine(DATETIME)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_combine(DECIMAL128)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_combine(DECIMAL256)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_combine(DECIMAL32)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_combine(DECIMAL64)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_combine(DOUBLE)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_combine(FLOAT)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_combine(INT)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_combine(LARGEINT)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_combine(SMALLINT)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_combine(TINYINT)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_combine(VARCHAR)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_if(BIGINT,BOOLEAN)	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_if(BOOLEAN,BOOLEAN)	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_if(DATE,BOOLEAN)	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_if(DATETIME,BOOLEAN)	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_if(DECIMAL128,BOOLEAN)	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_if(DECIMAL256,BOOLEAN)	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_if(DECIMAL32,BOOLEAN)	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_if(DECIMAL64,BOOLEAN)	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_if(DOUBLE,BOOLEAN)	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_if(FLOAT,BOOLEAN)	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_if(INT,BOOLEAN)	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_if(LARGEINT,BOOLEAN)	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_if(SMALLINT,BOOLEAN)	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_if(TINYINT,BOOLEAN)	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_if(VARCHAR,BOOLEAN)	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_merge(VARBINARY)	BIGINT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_state(BIGINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_state(BOOLEAN)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_state(DATE)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_state(DATETIME)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_state(DECIMAL128)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_state(DECIMAL256)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_state(DECIMAL32)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_state(DECIMAL64)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_state(DOUBLE)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_state(FLOAT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_state(INT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_state(LARGEINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_state(SMALLINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_state(TINYINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_state(VARCHAR)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_state_merge(VARBINARY)	BIGINT	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_state_union(VARBINARY,VARBINARY)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_count_distinct_union(VARBINARY)	VARBINARY	Aggregate	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_l2_distance(INVALID_TYPE,INVALID_TYPE)	FLOAT	Scalar	NULL	{"fid":"10116","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_top_k(BIGINT)	INVALID_TYPE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_top_k(BIGINT,INT)	INVALID_TYPE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_top_k(BIGINT,INT,INT)	INVALID_TYPE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_top_k(BOOLEAN)	INVALID_TYPE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_top_k(BOOLEAN,INT)	INVALID_TYPE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_top_k(BOOLEAN,INT,INT)	INVALID_TYPE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_top_k(CHAR)	INVALID_TYPE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_top_k(CHAR,INT)	INVALID_TYPE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_top_k(CHAR,INT,INT)	INVALID_TYPE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_top_k(DATE)	INVALID_TYPE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_top_k(DATE,INT)	INVALID_TYPE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_top_k(DATE,INT,INT)	INVALID_TYPE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_top_k(DATETIME)	INVALID_TYPE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_top_k(DATETIME,INT)	INVALID_TYPE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_top_k(DATETIME,INT,INT)	INVALID_TYPE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_top_k(DECIMAL128)	INVALID_TYPE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_top_k(DECIMAL128,INT)	INVALID_TYPE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_top_k(DECIMAL128,INT,INT)	INVALID_TYPE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_top_k(DECIMAL256)	INVALID_TYPE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_top_k(DECIMAL256,INT)	INVALID_TYPE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_top_k(DECIMAL256,INT,INT)	INVALID_TYPE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_top_k(DECIMAL32)	INVALID_TYPE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_top_k(DECIMAL32,INT)	INVALID_TYPE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_top_k(DECIMAL32,INT,INT)	INVALID_TYPE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_top_k(DECIMAL64)	INVALID_TYPE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_top_k(DECIMAL64,INT)	INVALID_TYPE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_top_k(DECIMAL64,INT,INT)	INVALID_TYPE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_top_k(DOUBLE)	INVALID_TYPE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_top_k(DOUBLE,INT)	INVALID_TYPE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_top_k(DOUBLE,INT,INT)	INVALID_TYPE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_top_k(FLOAT)	INVALID_TYPE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_top_k(FLOAT,INT)	INVALID_TYPE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_top_k(FLOAT,INT,INT)	INVALID_TYPE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_top_k(INT)	INVALID_TYPE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_top_k(INT,INT)	INVALID_TYPE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_top_k(INT,INT,INT)	INVALID_TYPE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
approx_top_k(LARGEINT)	INVALID_TYPE	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
